file,model,code_box,status,numeric_error,cli_speedup,first_fit_speedup,stanli_median_s,stanli_min_s,stanli_max_s,cmdstan_median_s,cmdstan_min_s,cmdstan_max_s,cmdstan_compile_s,stanli_first_fit_s,cmdstan_first_fit_s,stanli_rhat_max,cmdstan_rhat_max,stanli_ess_bulk_min,cmdstan_ess_bulk_min,stanli_divergences,cmdstan_divergences,failure_reason,log_density_max_absolute,log_density_max_ulp,log_density_count,gradient_max_absolute,gradient_max_ulp,gradient_count,outputs_max_absolute,outputs_max_ulp,outputs_count
ch14_m14_6,m14.6,14.26,ok,5.08e-15,1.7110921004841364,4.553775298952979,2.437661729500178,2.3628460419995463,2.557688624999173,4.171063729000252,3.8922395829995367,4.450444332999723,6.9295000420006545,2.437661729500178,11.100563771000907,1.0016621556266956,1.0023851812024633,1918.5433710798673,2069.0550398951714,0,0,,1.1368683772161603e-13,1,3,2.8421709430404007e-13,3588805953060864,21,0,0,30
ch14_m14_4x,m14.4x,14.27,ok,3.33e-15,2.6106948974037447,104.99002477019374,0.03672772950039871,0.033910666999872774,0.03807779099952313,0.0958848959999159,0.08170670799972868,0.26475945899983344,3.76016033399992,0.03672772950039871,3.856045229999836,1.0005581036723183,1.000654112329876,3343.135843335365,3272.627960008472,0,0,,0,0,3,1.4210854715202004e-13,3588805953060864,9,0,0,9
ch14_m14_6x,m14.6x,14.27,ok,5.08e-15,1.7386674099504418,4.617880012365472,2.383101646000341,2.2871928340000522,2.463106207999772,4.1434211665000475,3.919851749999907,4.263557332999881,6.8614562920001845,2.383101646000341,11.004877458500232,1.0016621556266956,1.0023851812024633,1918.5433710798673,2069.0550398951714,0,0,,1.1368683772161603e-13,1,3,2.8421709430404007e-13,3588805953060864,21,0,0,30
ch14_m14_7,m14.7,14.31,ok,2.58e-15,1.4482922110295195,3.36379686204742,4.677664270999685,4.572156624999479,4.76775062500019,6.774624729499919,6.6889494170000035,6.872454082999866,8.960087667000153,4.677664270999685,15.734712396500072,1.007781288550344,1.0058149676205417,1268.5315349032949,1112.0404609151299,0,0,,2.2737367544323206e-13,2,3,5.9117155615240335e-12,13,1968,0,0,3798
ch14_m14_8,m14.8,14.39,ok,3e-16,1.5123180869010706,7.866403754186288,0.709821749999719,0.6810429999995904,0.7580953340002452,1.0734762710003452,0.9801459170003,1.1165043330001936,4.510268208000525,0.709821749999719,5.58374447900087,1.0077768328920491,1.0057309639758885,542.588976838712,702.6783678245719,0,0,,5.820766091346741e-11,1,3,9.313225746154785e-10,2,45,0,0,45
ch14_m14_8nc,m14.8nc,14.46,ok,4.93e-16,1.4358943305077339,8.207445181695975,0.8446646244997282,0.7701794160002464,1.0418948750002528,1.2128491454996038,1.1641977089993816,1.5343356670000503,5.719689456999731,0.8446646244997282,6.932538602499335,1.0044288088618993,1.0028873654435384,1410.6718185053676,1531.8184428195127,0,0,,0,0,3,1.862645149230957e-09,4,45,0,0,675
ch14_m14_9,m14.9,14.49,ok,1.55e-15,1.219061803508157,2.023559170954421,5.039125770999817,4.936289457999919,5.52387541600001,6.143005750499469,5.757869791999838,6.575530541999797,4.053963416999977,5.039125770999817,10.196969167499446,1.0021396948952117,1.0031228066825038,2959.5215757554806,3217.7668710875996,0,0,,0,0,3,5.684341886080802e-14,246290604621824,12,0,0,12
ch14_m14_10,m14.10,14.51,ok,1.82e-15,1.243693345850228,2.21615617027413,6.421208958499847,5.82000970900026,6.575608624999404,7.986014854000132,7.5829916669999875,8.129161040999861,6.244386999998824,6.421208958499847,14.230401853998956,1.0006117036675026,1.0013410818477657,3576.8443507892666,3935.5891320251026,0,0,,1.4210854715202004e-14,1,3,6.394884621840902e-14,11,12,0,0,12
ch14_m14_11,m14.11,14.52,ok,1.48e-13,1.1674581700208673,1.7383952370722482,11.211184854500061,11.108434750000015,11.39680479100025,13.088589354000305,12.663779792000241,13.243506583000453,6.400880998999128,11.211184854500061,19.489470352999433,1.0013378599035767,1.0028432361241966,3917.996847532795,3848.5238095829864,0,0,,0,0,3,3.211653165635653e-12,904,15,0,0,15
ch15_m15_1,m15.1,15.3,ok,2.64e-16,1.9424223378985586,63.86345301264462,0.05161181250014124,0.05006966699966142,0.054834999999911815,0.1002519374997064,0.09254129199962335,0.28641783300008683,3.195856625000488,0.05161181250014124,3.2961085625001942,1.0072244651797493,1.004063657595824,1338.909423214381,1540.8093406388996,0,0,,0,0,3,1.7763568394002505e-15,64,162,0,0,162
